Field Name,FIX Tag,Short Description,Is Signed-Off,Default Value,Data Type,Last Update User,Start Date,Jira No,Long Description,OPS Critical Tag,System,PII Information Level Type,PII Element Name
IOIid,23,Unique identifier of IOI message.   (Prior to FIX 4.1 this field was of type int) [UD: this is an additional IOI ID. If an order is placed on the back of an IOI on those orders this field will optionally be set as a reference ID],Y,,String,kiera,1.59135E+12,,Unique identifier of IOI message.   (Prior to FIX 4.1 this field was of type int) [UD: this is an additional IOI ID. If an order is placed on the back of an IOI on those orders this field will optionally be set as a reference ID],,,,
IOIOthSvc,24,Will be decommissioned in FIX 4.3,Y,,,kanaram,,,,,,,
IOIQltyInd,25,Relative quality of indication,Y,,,tejasd,1.14469E+12,,,,,,
IOIRefID,26,"Reference identifier used with CANCEL and REPLACE, transaction types.   (Prior to FIX 4.1 this field was of type int)",Y,,,tejasd,1.14469E+12,,,,,,
IOIShares,27,"Quantity (e.g. number of shares)in numeric form or relative size.
",Y,,Float,griff,,,,,,,
IOITransType,28,Identifies IOI message transaction type,Y,,String,tejasd,1.14469E+12,,,,,,
lastCapacity,29,Broker capacity in order execution,Y,,String,liuzhe,1.65231E+12,,,CRITICAL,GTRS-MiFIDII|C|Not for Asia;TC|C|null,,
lastMkt,30,Market of execution for last fill,Y,,String,liuzhe,1.65231E+12,,,YES,GTRS-RDRS|Y|null;TC|Y|P2 lookup to derive ,,
LastPx,31,Price of this (last) fill,Y,,Float,liuzhe,1.65231E+12,,,NO,TC|N|null,,
LastShares,32,Quantity (e.g. shares) bought/sold on this (last) fill.,Y,,Float,liuzhe,1.65231E+12,,,NO,TC|N|null,,
LinesOfText,33,Identifies number of lines of text body,Y,,String,anandshi,1.34807E+12,,,,,,
MsgSeqNum,34,Integer message sequence number,Y,,String,kaleami,1.5339E+12,,,,,,
fixMsgType,35,"Defines message type. ALWAYS THIRD FIELD IN MESSAGE. (Always unencrypted)   Note: A U as the first character in the MsgType field (i.e. U1, U2, etc) indicates that the  message format is privately defined between the sender and receiver.",Y,,String,mirzaabd,1.44247E+12,,,,,,
msgType,35,"Defines message type. ALWAYS THIRD FIELD IN MESSAGE. (Always unencrypted)   Note: A U as the first character in the MsgType field (i.e. U1, U2, etc) indicates that the  message format is privately defined between the sender and receiver.",Y,,String,mikena,1.46246E+12,,,,,,
NewSeqNo,36,New sequence number,Y,,String,fangzhod,1.3965E+12,,,,,,
orderID,37,Unique identifier for Order as assigned by broker.  Uniqueness must be guaranteed within a single trading day.  Firms which accept multi-day orders should consider embedding a date within the OrderID field to assure uniqueness across days.,Y,,String,evos,1.68991E+12,,,,,,
parentExchangeOrderID,37,Unique identifier for Order as assigned by broker.  Uniqueness must be guaranteed within a single trading day.  Firms which accept multi-day orders should consider embedding a date within the OrderID field to assure uniqueness across days.,Y,,String,tejasd,1.14469E+12,,,,,,
refExchOrderID,37,Unique identifier for Order as assigned by broker.  Uniqueness must be guaranteed within a single trading day.  Firms which accept multi-day orders should consider embedding a date within the OrderID field to assure uniqueness across days.,Y,,String,tejasd,1.14469E+12,,,,,,
orderQty,38,Number of shares ordered     (Prior to FIX 4.2 this field was of type int),Y,,Float,evos,1.66613E+12,,,,,,
ordStatus,39,Identifies current status of order.,Y,,String,maugeth,1.30891E+12,,,,,,
ordType,40,"Order type. Three on close-related values (5, A and B) in the OrdType field have been replaced in FIX 4.3 by the combined use of a new TimeInForce At the Close value and OrdType values. This makes On close handling consistent with On open",Y,,String,mikena,1.4635E+12,,,,,,
origClOrdID,41,"ClOrdID of the previous order (NOT the initial order of the day) as assigned by the external / sending institution, used to identify the previous order in
cancel and cancel/replace requests.",Y,,String,anandshi,1.37423E+12,,,,,,
OrigTime,42,"Time of message origination (always expressed in UTC (Universal Time Coordinated, also known as GMT)) ( in GMT )",Y,,,tejasd,1.14469E+12,,,,,,
PossDupFlag,43,Indicates possible retransmission of message with this sequence number,Y,,String,maugeth,1.32886E+12,,,,,,
price,44,Price per unit of quantity (e.g. per share),Y,,Float,evos,1.66613E+12,,,,,,
RefSeqNum,45,Reference message sequence number,Y,,String,anandshi,1.35541E+12,,,,,,
RelatdSym,46,Symbol of issue related to story.  Can be repeated within message to identify multiple companies. No longer used as of FIX 4.3 - decommissioned,Y,,String,tejasd,1.14469E+12,,,,,,
Rule80A,47,Describes the capacity of the firm placing the order. The Rule80A field will be replaced in FIX 4.3 by the combined use of OrderCapacity (528) and OrderRestrictions (529) fields.,Y,,String,liuzhe,1.65231E+12,,,CRITICAL,GTRS-MiFIDII|C|Not for Asia;TC|C|null,,
securityID,48,"Security identifier value of SecurityIDSource type (e.g. CUSIP, SEDOL, ISIN, etc). Requires SecurityIDSource",Y,,String,liuzhe,1.65231E+12,,,NO,TC|N|null,,
SenderCompID,49,Assigned value used to identify firm sending message.,Y,,String,kaleami,1.5339E+12,,,,,,
senderSubID,50,"Assigned value used to identify specific message originator (desk, trader, etc.)",N,,String,samagarw,1.68296E+12,,,,,,
SendingDate,51,No longer used as of FIX 4.3 - decommissioned,Y,,,tejasd,1.14469E+12,,,,,,
SendingTime,52,"Time of message transmission from exchange.(always expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,Date,marcelan,1.56863E+12,,,,,,
Shares,53,Number of shares. In FIX 4.3 it is renamed as Quantity (We have already defined this with Fix Tag 10050),Y,,Float,tejasd,1.14469E+12,,,,,,
side,54,Side of order,Y,,String,nikitl,1.74037E+12,,,YES,TC|Y|null,,
symbol,55,"Ticker symbol. Common, human understood representation of the security. SecurityID value can be specified if no symbol exists (e.g. non-exchange traded Collective Investment Vehicles",Y,,String,lauali,1.62678E+12,,,,,,
TargetCompID,56,Assigned value used to identify receiving firm.,Y,,String,kaleami,1.5339E+12,,,,,,
TargetSubID,57,Assigned value used to identify specific individual or unit intended to receive message.  ADMIN reserved for administrative messages not intended for a specific user.,Y,,String,tejasd,1.14469E+12,,,,,,
BusinessLostText,58,,Y,,String,maugeth,1.32566E+12,,,,,,
text,58,Free format text string. Reserved for text received by a client.  (Note: this field does not have a specified maximum length),N,,String,samagarw,1.6839E+12,,,,,,
timeInForce,59,Specifies how long the order remains in effect.  Absence of this field is interpreted as DAY. NOTE not applicable to CIV Orders. ( in GMT ),Y,,String,weijiel,1.46103E+12,,,,,,
transactDate,60,"Time of execution/order creation (expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,Date,tejasd,1.14469E+12,,,,,,
transactTime,60,"Time of execution/order creation (expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT ) (for TP program - Time when re-optimization request was run)",Y,,Date,nikitl,1.74037E+12,,,,,,
Urgency,61,Urgency flag,Y,,,tejasd,1.14469E+12,,,,,,
ValidUntilTime,62,"Indicates expiration time of indication message (always expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,Date,maugeth,1.30891E+12,,,,,,
SettlmntTyp,63,Indicates order settlement period.  Absence of this field is interpreted as Regular.  Regular is defined as the default settlement period for the particular security on the exchange of execution.,Y,,String,schrier,1.4254E+12,,,,,,
FutSettDate,64,Specific date of trade settlement (SettlementDate) in YYYYMMDD format.  Required when SettlmntTyp is 6 (Future) or SettlmntTyp = 8 (Sellers Option).  (expressed in local time at place of settlement),Y,,Date,anandshi,1.3668E+12,,,,,,
SymbolSfx,65,"Additional information about the security (e.g. preferred, warrants, etc.).   Note also see SecurityType. As defined in the NYSE Stock and bond Symbol Directory and in the AMEX Fitch Directory",Y,,String,anandshi,1.34815E+12,,,,,,
listID,66,"Unique id for list as assigned by institution, used to associate multiple individual orders.  Uniqueness guaranteed in a single trading day. Firms generating multi-day orders should embed date in ListID to assure uniqueness across days.",Y,,String,anandshi,1.35541E+12,,,,,,
ListSeqNo,67,"Sequence of individual order within list (i.e. ListSeqNo of TotNoOrds, 2 of 25, 3 of 25,   . . . )",Y,,String,tejasd,1.14469E+12,,,,,,
TotNoOrders,68,Total number of list order entries across all messages. Should be the sum of all NoOrders in each message that has repeating list order entries related to the same ListID. Used to support fragmentation.,Y,,String,anandshi,1.35541E+12,,,,,,
listExecInst,69,Free format text message containing list handling and execution instructions.,Y,,String,tejasd,1.14469E+12,,,,,,
allocID,70,Unique identifier for allocation message. (Prior to FIX 4.1 this field was of type int),Y,,String,kanaram,1.34522E+12,,,,,,
AllocTransType,71,"Identifies allocation transaction type. The Three fields which were removed from AllocTransType are now part of AllocType(626) introducted in FIX 4.3, which specifies the type or purpose of the Allocation message",Y, ,String,gayakwad,1.14469E+12,,,,,,
refAllocID,72,Reference identifier to be used with AllocTransType=Replace or Cancel or with AllocType=Sellside Calculated Using Preliminary. (Prior to FIX 4.1 this field was of type int),Y,,String,tejasd,1.14469E+12,,,,,,
NoOrders,73,Indicates number of orders to be combined for average pricing and allocation.,Y,,String,rashmr,1.39393E+12,,,,,,
AvgPrxPrecision,74,Indicates number of decimal places to be used for average pricing.  Absence of this field indicates that default precision arranged by the broker/institution is to be used.,Y,,,tejasd,1.14469E+12,,,,,,
tradeDate,75,Indicates date of trade referenced in this message in YYYYMMDD format.  Absence of this field indicates current day (expressed in local time at place of trade).,Y,,Date,liuzhe,1.68713E+12,,,NO,TC|Y|null,,
execBroker,76,"Identifies executing / give-up broker. From FIX 4.3 onwards, ExecBroker has been replaced with PartyID and PartyRole (452)= 1 (Executing Broker).  Note that Booker&TD often copy execBroker into contraBroker for TC to convert to a brokerAccount.",Y,,String,liuzhe,1.65232E+12,,,CRITICAL,TC|C|Japan,,
openClose,77,Indicates whether the resulting position after a trade should be an opening position or closing position. Used for omnibus accounting - where accounts are held on a gross basis instead of being netted together. Formerly named OpenClose prior to FIX 4.3,Y,,String,tejasd,1.14469E+12,,,,,,
NoAllocs,78,Number of  repeating AllocAccount/AllocPrice entries.,Y,,String,anandshi,1.36818E+12,,,,,,
AllocAccount,79,Sub-account mnemonic,Y,,String,maugeth,1.32705E+12,,,,,,
AllocShares,80,Quantity to be allocated to specific sub-account. Formerly named AllocShares prior to FIX 4.3,Y,,String,anandshi,1.35722E+12,,,,,,
processCode,81,Processing code for sub-account.  Absence of this field in AllocAccount / AllocPrice/AllocShares / ProcessCode instance indicates regular trade.,Y,,String,tejasd,1.14469E+12,,,,,,
NoRpts,82,Total number of reports within series.,Y,,String,anandshi,1.35541E+12,,,,,,
RptSeq,83,Sequence number of message within report series.,Y,,String,anandshi,1.35541E+12,,,,,,
CxlQty,84,Total quantity canceled for this order. (Prior to FIX 4.2 this field was of type int),Y,,String,malays,1.27808E+12,,,,,,
NoDlvyInst,85,Number of delivery instruction fields to follow. No longer used as of FIX 4.3 - decommissioned,Y,,String,maugeth,1.32886E+12,,,,,,
DlvyInst,86,Free format text field to indicate delivery instructions. No longer used as of FIX 4.3 - decommissioned,Y,,,tejasd,1.14469E+12,,,,,,
AllocStatus,87,Identifies status of allocation.,Y,,String,maugeth,1.32886E+12,,,,,,
AllocRejCode,88,Identifies reason for rejection of the allocation,Y,,String,maugeth,1.32886E+12,,,,,,
Signature,89,Electronic signature,Y,,String,anandshi,1.37458E+12,,,,,,
SecureDataLen,90,Length of encrypted message,Y,,String,maugeth,1.32886E+12,,,,,,
SecureData,91,Actual encrypted data stream,Y,,String,maugeth,1.32886E+12,,,,,,
BrokerOfCredit,92,Broker to receive trade credit. No Longer used as of FIX 4.3 - decommisioned. This field introduced prior to FIX 4.3 have been removed and the equivalent values can now be specified via PartyRole (452) With Valid value 2 = Broker of credit,Y,,String,tejasd,1.14469E+12,,,,,,
SignatureLength,93,Number of bytes in signature field.,Y,,String,anandshi,1.37458E+12,,,,,,
EmailType,94,Email message type.,Y,,String,anandshi,1.34807E+12,,,,,,
RawDataLength,95,Number of bytes in raw data field.,Y,,,tejasd,1.14469E+12,,,,,,
RawData,96,"Unformatted raw data, can include bitmaps, word processor documents, etc.",Y,,,tejasd,1.14469E+12,,,,,,
PossResend,97,Indicates that message may contain information that has been sent under another sequence number.,Y,,String,maugeth,1.32886E+12,,,,,,
EncryptMethod,98,Method of encryption.,Y,,,tejasd,1.14469E+12,,,,,,
StopPx,99,Price per unit of quantity (e.g. per share),Y,,Float,tejasd,1.14469E+12,,,,,,
exDestination,100,Execution destination as defined by institution when order is entered,Y,,String,milleway,1.46762E+12,,,,,,
NotDefined,101,This field has not been defined.,Y,,,yashanka,1.57261E+12,,,,,,
cxlRejReason,102,Code to identify reason for cancel rejection.,Y,,String,mirzaabd,1.44247E+12,,,,,,
ordRejReason,103,Code to identify reason for order rejection.,Y,,String,malays,1.27808E+12,,,,,,
IOIQualifier,104,Code to qualify IOI use.,Y,,String,tejasd,1.14469E+12,,,,,,
waveNo,105,"Identifier to aid in the management of multiple lists derived from a single, master list.",Y,,String,kanaram,1.32913E+12,,,,,,
Issuer,106,Company name of security issuer (e.g. International Business Machines),Y,,String,monacant,1.36691E+12,,,,,,
securityDesc,107,Security description.,Y,,String,monacant,1.36691E+12,,,,,,
securityShortDesc,107,Security description.,Y,,String,tejasd,1.14469E+12,,,,,,
HeartBtInt,108,Heartbeat interval (seconds),Y,,,tejasd,1.14469E+12,,,,,,
clientID,109,Firm identifier used in third party-transactions. No longer used as of FIX 4.3 - decommissioned. This field introduced prior to FIX 4.3 have been removed and the equivalent values can now be specified via PartyRole (452) With Valid value 3 = Client ID,Y,,String,monacant,1.40087E+12,,,,,,
minQty,110,Minimum quantity of an order to be executed.(Prior to FIX 4.2 this field was of type int),Y,,Float,mirzaabd,1.44483E+12,,,,,,
maxFloor,111,Maximum quantity (e.g. number of shares) within an order to be shown on the exchange floor at any given time. (Prior to FIX 4.2 this field was of type int),Y,,Integer,tejasd,1.14469E+12,,,,,,
TestReqID,112,Identifier included in Test Request message to be returned in resulting Heartbeat,Y,,,tejasd,1.14469E+12,,,,,,
reportToExch,113,Identifies party of trade responsible for exchange reporting.,Y,,String,tejasd,1.14469E+12,,,,,,
LocateReqd,114,Indicates whether the broker is to locate the stock in conjunction with a short sell order.,Y,,String,tejasd,1.14469E+12,,,,,,
OnBehalfOfCompID,115,Assigned value used to identify firm originating message if the message was delivered by a third party  i.e.   the third party firm identifier would be delivered in the SenderCompID field and the firm originating the message in this field.,N,,String,samagarw,1.6839E+12,,,,,,
OnBehalfOfSubID,116,Assigned value used to identify specific message originator (i.e. trader) if the message was delivered by a third party,N,,String,samagarw,1.6839E+12,,,,,,
QuoteID,117,Unique identifier for quote,Y,,String,tejasd,1.14469E+12,,,,,,
NetMoney,118,Total amount due as the result of the transaction (e.g. for Buy order - principal + commission + fees) reported in currency of execution.,Y,,String,anandshi,1.34545E+12,,,,,,
SettlCurrAmt,119,Total amount due expressed in settlement currency (includes the effect of the forex transaction),Y,,String,mirzaabd,1.39514E+12,,,,,,
settlCurrency,120,Currency code of settlement denomination.,Y,,String,liuzhe,1.65231E+12,,,YES,TC|Y|null,,
ForexReq,121,Indicates request for forex accommodation trade to be executed along with security transaction.,Y,,String,tejasd,1.14469E+12,,,,,,
OrigSendingTime,122,"Original time of message transmission (always expressed in UTC (Universal Time Coordinated, also known as GMT) when transmitting orders as the result of a resend request. ( in GMT )",Y,,String,maugeth,1.32886E+12,,,,,,
GapFillFlag,123,Indicates that the Sequence Reset message is replacing administrative or application messages which will not be resent.,Y,,String,fangzhod,1.3965E+12,,,,,,
NoExecs,124,No of execution repeating group entries to follow.,Y,,,tejasd,1.14469E+12,,,,,,
CxlType,125,No longer as of FIX 4.3 - decommissioned,Y,,,tejasd,1.14469E+12,,,,,,
ExpireTime,126,"Time/Date of order expiration (always expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,Date,mirzaabd,1.49122E+12,,,,,,
DKReason,127,Reason for execution rejection.,Y,,String,kaleami,1.5339E+12,PLAT-9143,,,,,
DeliverToCompID,128,Assigned value used to identify the firm targeted to receive the message if the message is delivered by a third party   i.e.  the third party firm identifier would be delivered in the TargetCompID field and the ultimate receiver firm ID in this field.,Y,,String,monacant,1.37112E+12,,,,,,
DeliverToSubID,129,Assigned value used to identify specific message recipient (i.e. trader) if the message is delivered by a third party,Y,,,tejasd,1.14469E+12,,,,,,
IOINaturalFlag,130,"Indicates that IOI is the result of an existing agency order or a facilitation position resulting from an agency order, not from principal trading or order solicitation activity.",Y,,String,tejasd,1.14469E+12,,,,,,
QuoteReqID,131,Unique identifier for quote request,Y,,String,anandshi,1.35334E+12,,,,,,
BidPx,132,Bid price/rate,Y,,Float,mirzaabd,1.49122E+12,,,,,,
OfferPx,133,Offer price/rate,Y,,Float,mirzaabd,1.49122E+12,,,,,,
BidSize,134,Quantity of bid   (Prior to FIX 4.2 this field was of type int),Y,,Float,mirzaabd,1.49122E+12,,,,,,
OfferSize,135,Quantity of offer   (Prior to FIX 4.2 this field was of type int),Y,,Float,mirzaabd,1.49122E+12,,,,,,
NoMiscFees,136,Number of repeating groups of miscellaneous fees,Y,,String,maugeth,1.32705E+12,,,,,,
MiscFeeAmt,137,Miscellaneous fee value,Y,,Float,tejasd,1.14469E+12,,,,,,
MiscFeeCurr,138,Currency of miscellaneous fee,Y,,String,maugeth,1.32705E+12,,,,,,
MiscFeeType,139,Indicates type of miscellaneous fee.,Y,,String,maugeth,1.32705E+12,,,,,,
PrevClosePx,140,Previous closing price of security.,Y,,Float,tejasd,1.14469E+12,,,,,,
ResetSeqNumFlag,141,Indicates that the both sides of the FIX session should reset sequence numbers.,Y,,,tejasd,1.14469E+12,,,,,,
senderLocationID,142,"Assigned value used to identify specific message originators location (i.e. geographic location and/or desk, trader)",Y,,String,tejasd,1.14469E+12,,,,,,
targetLocationID,143,"Assigned value used to identify specific message destinations location (i.e. geographic location and/or desk, trader)",Y,,String,tejasd,1.14469E+12,,,,,,
OnBehalfOfLocationID,144,"Assigned value used to identify specific message originators location (i.e. geographic location and/or desk, trader) if the message was delivered by a third party",Y,,,tejasd,1.14469E+12,,,,,,
DeliverToLocationID,145,"Assigned value used to identify specific message recipients location (i.e. geographic location and/or desk, trader) if the message was delivered by a third party",Y,,,tejasd,1.14469E+12,,,,,,
NoRelatedSym,146,Specifies the number of repeating symbols specified.,Y,,String,anandshi,1.35541E+12,,,,,,
Subject,147,The subject of an Email message,Y,,String,anandshi,1.34807E+12,,,,,,
Headline,148,The headline of a News message,Y,,,tejasd,1.14469E+12,,,,,,
URLLink,149,A URL (Uniform Resource Locator) link to additional information (i.e. http://www.XYZ.com/research.html),Y,,,tejasd,1.14469E+12,,,,,,
execType,150,Describes the specific ExecutionRpt (i.e. Pending Cancel) while OrdStatus will always identify the current order status (i.e. Partially Filled),Y,,String,evos,1.66613E+12,,,,,,
execTypeAlt,150,Describes the specific ExecutionRpt (i.e. Pending Cancel) while OrdStatus will always identify the current order status (i.e. Partially Filled),Y,U,String,mdudani,1.50781E+12,,,,,,
leavesQty,151,"Quantity open for further execution. If the OrdStatus is Canceled, DoneForTheDay, Expired, Calculated, or Rejected (in which case the order is no longer active) then LeavesQty could be 0, otherwise LeavesQty = OrderQty - CumQty",Y,,Float,malays,1.27808E+12,,,,,,
CashOrderQty,152,Specifies the approximate  order quantity desired in total monetary units vs. as tradeable units (e.g. number of shares),Y,,Float,smore,1.27788E+12,,,,,,
AllocAvgPx,153,AvgPx for a specific AllocAccount,Y, ,String,gayakwad,1.14469E+12,,,,,,
AllocNetMoney,154,NetMoney for a specific AllocAccount,Y,,String,smore,1.27772E+12,,,,,,
fxRate,155,Foreign exchange rate used to compute SettlCurrAmount from Currency to SettlCurrency,Y,,Float,tejasd,1.14469E+12,,,,,,
settlCurrFXRate,155,Foreign exchange rate used to compute SettlCurrAmount from Currency to SettlCurrency,Y,,Float,girishj,1.44195E+12,,,,,,
SettlCurrFxRateCalc,156,Specifies whether or not SettlCurrFxRate should be multiplied or divided.,Y,,String,girishj,1.44195E+12,,,,,,
fxRateCalc,156,Specifies whether or not SettlCurrFxRate should be multiplied or divided.,Y,,String,tejasd,1.14469E+12,,,,,,
NumDaysInterest,157,Number of Days of Interest for convertible bonds and fixed income. Note value may be negative,Y,,Integer,jeongel,1.34389E+12,,,,,,
AccruedInterestRate,158,Accrued Interest Rate for convertible bonds and fixed income,Y,,String,maugeth,1.32886E+12,,,,,,
AccruedInterestAmt,159,Amount of Accrued Interest for convertible bonds and fixed income,Y,,String,anandshi,1.34676E+12,,,,,,
SettlInstMode,160,Indicates mode used for Settlement Instructions,Y,,String,smore,1.27778E+12,,,,,,
allocText,161,Free format text related to a specific AllocAccount.,Y,,String,maugeth,1.32886E+12,,,,,,
SettlInstID,162,Unique identifier for Settlement Instructions message.,Y,,,tejasd,1.14469E+12,,,,,,
SettlInstTransType,163,Settlement Instructions message transaction type,Y,,,tejasd,1.14469E+12,,,,,,
EmailThreadID,164,Unique identifier for an email thread (new and chain of replies),Y,,String,anandshi,1.34807E+12,,,,,,
SettlInstSource,165,Indicates source of Settlement Instructions,Y,,String,tejasd,1.14469E+12,,,,,,
SettlLocation,166,Identifies Settlement Depository or Country Code. No longer used as of FIX 4.3 - decommissioned. In FIX 4.3 this fields have been removed and the equivalent value can now be specified via PartyRole (452) With Valid value 10 = Settlement Location,Y,,,tejasd,1.14469E+12,,,,,,
SecurityType,167,Indicates type of security. The CFICode(461) was introduced to improve granularity in specifying security type (Recommended for non-Fixed Income instruments). The adoption of CFICode has made the values for futures and options in SecurityType redundant,Y,,String,anandshi,1.34676E+12,,,,,,
EffectiveTime,168,"Time the details within the message should take effect (always expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,String,maugeth,1.30503E+12,,,,,,
StandInstDbType,169,Identifies the Standing Instruction database used,Y,,String,maugeth,1.32886E+12,,,,,,
StandInstDbName,170,Name of the Standing Instruction database represented with StandInstDbType (i.e. the Global Custodians name).,Y,,String,maugeth,1.32886E+12,,,,,,
StandInstDbID,171,Unique identifier used on the Standing Instructions database for the Standing Instructions to be referenced.,Y,,String,maugeth,1.32886E+12,,,,,,
SettlDeliveryType,172,Identifies type of settlement,Y,,String,maugeth,1.32886E+12,,,,,,
SettlDepositoryCode,173,"Brokers account code at the depository (i.e. CEDEL ID  for CEDEL, FINS for DTC, or Euroclear ID for Euroclear) if SettlLocation is a depository",Y,,,tejasd,1.14469E+12,,,,,,
SettlBrkrCode,174,BIC (Bank Identification Code-Swift managed) code of  the broker involved (i.e. for multi-company brokerage firms),Y,,,tejasd,1.14469E+12,,,,,,
SettlInstCode,175,BIC (Bank Identification Code-Swift managed) code of  the institution involved (i.e. for multi-company institution firms),Y,,,tejasd,1.14469E+12,,,,,,
SecuritySettlAgentName,176,Name of SettlInstSources local agent bank if SettlLocation is  not a depository,Y,,,tejasd,1.14469E+12,,,,,,
SecuritySettlAgentCode,177,BIC (Bank Identification Code--Swift managed) code of  the SettlInstSources local agent bank if SettlLocation  is not a depository,Y,,,tejasd,1.14469E+12,,,,,,
SecuritySettlAgentAcctNum,178,SettlInstSources account number at local agent bank if  SettlLocation is not a depository,Y,,,tejasd,1.14469E+12,,,,,,
SecuritySettlAgentAcctName,179,Name of SettlInstSources account at local agent bank if  SettlLocation is not a depository,Y,,,tejasd,1.14469E+12,,,,,,
SecuritySettlAgentContactName,180,Name of contact at local agent bank for SettlInstSources account if SettlLocation is not a depository,Y,,,tejasd,1.14469E+12,,,,,,
SecuritySettlAgentContactPhone,181,Phone number for contact at local agent bank if  SettlLocation is not a depository,Y,,String,maugeth,1.30503E+12,,,,,,
CashSettlAgentName,182,Name of SettlInstSources local agent bank if SettlDeliveryType is Free,Y,,,tejasd,1.14469E+12,,,,,,
